eid source target dir capacity speed_kmh highway cost_time_m dist_km
260 30994 30996 1 950 32.1868 tertiary 0.16820826511 0.0694113562492
261 30996 13164 1 950 32.1868 tertiary 0.479088379159 0.197696433876
262 13164 12420 1 950 32.1868 tertiary 0.18071327014 0.0745715626069
263 12420 14291 1 950 32.1868 tertiary 0.0352433899965 0.0145432300659
264 14291 8900 1 950 32.1868 tertiary 0.199657896382 0.0823890869136
265 8900 13682 1 950 32.1868 tertiary 0.297127908058 0.122610212193
266 13682 13688 1 950 32.1868 tertiary 0.441454036223 0.182166574014
267 13688 13692 1 950 32.1868 tertiary 0.184000871637 0.0759281955795
268 13692 13691 1 950 32.1868 tertiary 0.0364996872229 0.015061642727
269 13691 13698 1 950 32.1868 tertiary 0.459704407563 0.189697613146
270 13698 13699 1 950 32.1868 tertiary 0.165195151736 0.0681679911526
271 13699 13701 1 950 32.1868 tertiary 0.153043374738 0.063153544795
272 13701 13707 1 950 32.1868 tertiary 0.525774632816 0.216961576301
273 13707 17575 1 950 32.1868 tertiary 0.155582034838 0.06420112614
274 17575 2700 1 950 32.1868 tertiary 0.0842122810402 0.0347503057357
275 2700 2698 1 950 32.1868 tertiary 0.0480038763556 0.0198088611216
276 2698 17597 1 950 32.1868 tertiary 0.0893509796799 0.0368707963175
277 17597 13713 1 950 32.1868 tertiary 1.67364019623 0.690629772668
278 13713 13715 1 950 32.1868 tertiary 0.652604095344 0.269297916616
279 13715 13716 1 950 32.1868 tertiary 0.0671110735371 0.0276934705349
280 13716 14496 1 950 32.1868 tertiary 1.80516857757 0.744905127855
281 14496 14494 1 950 32.1868 tertiary 0.221881597584 0.0915597257066
282 15184 24229 1 5400 64.3736 primary 1.61718346775 1.33466566256
283 24229 11196 1 5400 64.3736 primary 0.0141015018219 0.0116380056113
284 25889 28798 0 950 32.1868 tertiary 0.0551108235264 0.0227415519831
285 28798 25889 0 950 32.1868 tertiary 0.0551108235264 0.0227415519831
286 28798 28814 0 950 32.1868 tertiary 0.219678728625 0.0906507090065
287 28814 28798 0 950 32.1868 tertiary 0.219678728625 0.0906507090065
288 28814 28809 0 950 32.1868 tertiary 0.0635288963368 0.0262152805207
289 28809 28814 0 950 32.1868 tertiary 0.0635288963368 0.0262152805207
290 20657 20658 1 950 32.1868 tertiary 0.0905015957313 0.0373455995062
291 20658 20659 1 950 32.1868 tertiary 0.175865602939 0.0725711665214
292 20659 20662 1 950 32.1868 tertiary 0.218879456517 0.0903208883463
293 20662 20663 1 950 32.1868 tertiary 0.020559780294 0.00848401969702
294 20663 20666 1 950 32.1868 tertiary 0.167160719052 0.0689790850253
295 20666 20667 1 950 32.1868 tertiary 0.0615541231828 0.0254003878469
296 20667 20670 1 950 32.1868 tertiary 0.299778664685 0.123704050314
297 20670 20657 1 950 32.1868 tertiary 0.0452435674017 0.0186698160929
298 20673 20672 1 1900 48.2802 secondary 2.63219484973 1.62926786903
299 20672 20676 1 1900 48.2802 secondary 0.790780393005 0.489474814492
300 14984 17174 1 5400 64.3736 primary 0.0146424060549 0.0120844152618
301 17174 31407 1 5400 64.3736 primary 0.0921235825632 0.0760298289037
302 31407 15005 1 5400 64.3736 primary 0.273584106177 0.225789664326
303 15005 15012 1 5400 64.3736 primary 0.19361355706 0.159789765086
304 15012 19195 1 5400 64.3736 primary 0.430817615028 0.355554882343
305 19195 19194 1 5400 64.3736 primary 0.023964412914 0.0197778914252
306 19194 17258 1 5400 64.3736 primary 0.230096901396 0.189899562714
307 17258 15022 1 5400 64.3736 primary 0.152413758196 0.125787465444
308 15022 15023 1 5400 64.3736 primary 0.0925801560275 0.0764066401545
309 15023 29041 1 5400 64.3736 primary 0.368915438601 0.304466857415
310 29041 29068 1 5400 64.3736 primary 0.0218428932541 0.0180269958101
311 29068 27243 1 5400 64.3736 primary 0.114821301609 0.0947623146317
312 27243 10480 1 5400 64.3736 primary 0.212607275449 0.175465329575
313 10480 23793 1 5400 64.3736 primary 0.218355008528 0.180208948423
314 23793 10065 1 5400 64.3736 primary 0.114459423595 0.0944636557791
315 10065 10075 1 5400 64.3736 primary 0.434665534121 0.358730579837
316 10075 27244 1 5400 64.3736 primary 0.0852064640943 0.0703211132952
317 27244 27245 1 5400 64.3736 primary 0.0360646926072 0.0297642832823
318 6045 6046 1 6900 96.5604 motorway 0.466589398789 0.577616140806
319 6046 31084 1 6900 96.5604 motorway 0.526909199656 0.652289270288
320 31084 18736 1 6900 96.5604 motorway 0.0570923681763 0.0706777167698
321 18736 2129 1 6900 96.5604 motorway 0.257739989895 0.319070211798
322 5998 21545 1 6900 96.5604 motorway 0.0828038251698 0.102507313845
323 1920 20698 1 1900 48.2802 primary_link 1.24634564576 0.771459192905
324 24820 24846 1 950 32.1868 tertiary 0.492345857091 0.203167149141
325 24846 24906 1 950 32.1868 tertiary 0.571834641538 0.235968297952
326 24906 22398 1 950 32.1868 tertiary 0.0317809258923 0.0131144398143
327 22398 22408 1 950 32.1868 tertiary 0.665345005761 0.274555469634
328 22408 22430 1 950 32.1868 tertiary 0.858230113094 0.354149756463
329 1309 1327 1 950 32.1868 tertiary_link 0.127243241364 0.0525070866811
330 25454 20711 1 8100 64.3736 motorway_link 0.923758030837 0.76237987146
331 20711 20712 1 8100 64.3736 motorway_link 0.0859724124329 0.070953252423
332 20758 20677 1 1900 48.2802 secondary 0.724719696015 0.448584767533
333 20677 20678 1 1900 48.2802 secondary 1.75865545605 1.08856714294
334 20678 23994 1 1900 48.2802 secondary 0.40173104806 0.248662248033
335 20755 20757 1 1900 48.2802 secondary 0.334428548122 0.207003553705
336 20676 20758 1 1900 48.2802 secondary 0.334750671241 0.207202940483
337 20757 20756 1 1900 48.2802 secondary 0.790831869549 0.489506677285
338 20756 20761 1 1900 48.2802 secondary 2.23901656597 1.38589958472
339 20761 29079 1 1900 48.2802 secondary 0.0702821969348 0.0435030580058
340 29079 20764 1 1900 48.2802 secondary 0.320044778121 0.198100332008
341 20753 7568 1 1900 48.2802 secondary 0.723385455629 0.447758903524
342 7568 20670 1 1900 48.2802 secondary 0.110391532819 0.0683298113179
343 20667 20770 1 1900 48.2802 secondary 0.132810862277 0.0822068588837
344 20770 20677 1 1900 48.2802 secondary 0.711049683869 0.440123345476
345 20670 31835 1 950 32.1868 tertiary 0.579013874783 0.238930817755
346 32983 32985 1 950 32.1868 tertiary 0.400678584823 0.165340531718
347 6183 9113 1 1900 48.2802 secondary 0.0722779217127 0.0447383655881
348 33929 7399 1 5400 64.3736 primary 0.0927563857983 0.0765520830363
349 20771 20658 1 950 32.1868 tertiary 0.582151646505 0.240225623278
350 18105 18106 1 1900 48.2802 secondary 0.865224415137 0.535553946253
351 18106 18107 1 1900 48.2802 secondary 0.0242909966112 0.0150355663409
352 18107 1383 1 1900 48.2802 secondary 0.66124435836 0.40929499834
353 1383 18096 1 1900 48.2802 secondary 0.744222942513 0.46065682704
354 18096 18102 1 1900 48.2802 secondary 0.0256377822752 0.0158691955872
355 18102 23034 1 1900 48.2802 secondary 0.0933160056386 0.057760454044
356 23034 23048 1 1900 48.2802 secondary 0.209283132677 0.129541429516
357 23048 23045 1 1900 48.2802 secondary 0.107828015267 0.0667430531116
358 23045 23044 1 1900 48.2802 secondary 0.095908805892 0.059365337567
359 23044 23256 1 1900 48.2802 secondary 0.112154234458 0.069420882955
360 23256 23251 1 1900 48.2802 secondary 0.0684727289243 0.0423830390642
361 23251 23250 1 1900 48.2802 secondary 0.320688431681 0.198498738708
362 23250 23252 1 1900 48.2802 secondary 0.0675603995131 0.0418183282125
363 23252 18117 1 1900 48.2802 secondary 0.199852108949 0.123703843468
364 18117 18118 1 1900 48.2802 secondary 0.0223480429134 0.0138329228394
365 18118 18120 1 1900 48.2802 secondary 0.0301317859378 0.0186508801466
366 18120 32331 1 1900 48.2802 secondary 0.0197534684028 0.012226941092
367 32331 23255 1 1900 48.2802 secondary 0.190395904637 0.117850671219
368 23255 23254 1 1900 48.2802 secondary 0.0666913061112 0.0412803794527
369 23254 23248 1 1900 48.2802 secondary 0.313669542505 0.194154208283
370 23248 23246 1 1900 48.2802 secondary 0.0658508274151 0.0407601425355
371 23246 21474 1 1900 48.2802 secondary 0.168356525244 0.104208803975
372 21474 23827 1 1900 48.2802 secondary 0.190895343611 0.118159812418
373 23827 23836 1 1900 48.2802 secondary 0.078151422451 0.0483739270028
374 23836 18082 1 1900 48.2802 secondary 0.255390442943 0.158080790556
