id	layer	num1	num2	num3	lon	pos	Station	st_x	st_y	lat	proximity_to_metro
streets_12733	streets	None	None	None	None	(24.8194066991569, 46.587210324966094)	None	46.587210325	24.8194066992	None	None
streets_12732	streets	None	None	None	None	(24.644039996330701, 46.674547266836399)	None	46.6745472668	24.6440399963	None	None
streets_11428	streets	None	None	None	None	(24.674943225402497, 46.832172788380205)	None	46.8321727884	24.6749432254	None	None
streets_11429	streets	None	None	None	None	(25.008951504251698, 46.5470061154871)	None	46.5470061155	25.0089515043	None	None
taz_7569	taz	633	6211	428	46.561299	(24.641414999999999, 46.561298999999998)	None	None	None	24.641415	5.15028402414
streets_11420	streets	None	None	None	None	(24.621145714492197, 46.739532123652204)	None	46.7395321237	24.6211457145	None	None
streets_11421	streets	None	None	None	None	(24.714886377058303, 46.673904368071604)	None	46.6739043681	24.7148863771	None	None
streets_11422	streets	None	None	None	None	(24.567900989208603, 46.631467236455791)	None	46.6314672365	24.5679009892	None	None
streets_11423	streets	None	None	None	None	(24.756562318757602, 46.721843425632002)	None	46.7218434256	24.7565623188	None	None
streets_11424	streets	None	None	None	None	(24.597019702080804, 46.849374155536097)	None	46.8493741555	24.5970197021	None	None
streets_11425	streets	None	None	None	None	(24.672482594681302, 46.701949667043102)	None	46.701949667	24.6724825947	None	None
streets_11426	streets	None	None	None	None	(24.658826078306998, 46.671005569737702)	None	46.6710055697	24.6588260783	None	None
streets_11427	streets	None	None	None	None	(24.6478316589983, 46.767628856751791)	None	46.7676288568	24.647831659	None	None
streets_5949	streets	None	None	None	None	(24.631373367666502, 46.787012689354)	None	46.7870126894	24.6313733677	None	None
streets_5948	streets	None	None	None	None	(24.936294911494898, 46.558701579995898)	None	46.55870158	24.9362949115	None	None
streets_5945	streets	None	None	None	None	(24.582412306273199, 46.577312400296606)	None	46.5773124003	24.5824123063	None	None
streets_5944	streets	None	None	None	None	(24.6260459428415, 46.808953995391796)	None	46.8089539954	24.6260459428	None	None
streets_5947	streets	None	None	None	None	(24.786361445858997, 46.637796347782604)	None	46.6377963478	24.7863614459	None	None
streets_5946	streets	None	None	None	None	(24.564988120626303, 46.864437355604601)	None	46.8644373556	24.5649881206	None	None
