source	target	layer	capacity	weight	time_s	dist_km	len_km	cost_time_m	To	gid	From
streets_913	streets_2491	streets	2850	1.17697413333	None	1.19659036889	1.19659036889	1.17697413333	None	5302	None
streets_5455	streets_1569	streets	1900	0.425068774973	None	0.502998050384	0.502998050384	0.425068774973	None	9473	None
streets_4064	streets_4065	streets	950	0.295097086004	None	0.201649675436	0.201649675436	0.295097086004	None	2935	None
streets_4064	streets_7584	streets	950	0.467525544267	None	0.319475788583	0.319475788583	0.467525544267	None	6275	None
streets_4064	streets_1656	streets	950	0.145156884611	None	0.0991905378178	0.0991905378178	0.145156884611	None	13334	None
streets_914	streets_2619	streets	3800	0.0201259790284	None	0.0204614120122	0.0204614120122	0.0201259790284	None	18639	None
streets_5454	streets_5440	streets	6963	0.00918493297881	None	0.0154613038477	0.0154613038477	0.00918493297881	None	170	None
streets_5454	streets_1873	streets	6963	0.00817353487591	None	0.0137587837078	0.0137587837078	0.00817353487591	None	7325	None
streets_5454	streets_3189	streets	2850	3.68584156102	None	1.9043514732	1.9043514732	3.68584156102	None	17280	None
streets_4067	streets_3301	streets	950	0.251496336989	None	0.255687942606	0.255687942606	0.251496336989	None	2826	None
streets_4067	streets_1412	streets	1900	0.122269577777	None	0.144685667036	0.144685667036	0.122269577777	None	20347	None
streets_915	streets_8628	streets	1900	0.253630284901	None	0.300129170466	0.300129170466	0.253630284901	None	16412	None
streets_915	streets_905	streets	1900	0.647899559932	None	0.76668114592	0.76668114592	0.647899559932	None	5245	None
streets_6382	streets_6931	streets	950	0.942311180599	None	0.643912640076	0.643912640076	0.942311180599	None	9972	None
streets_6382	streets_498	streets	950	1.55727879493	None	1.06414050987	1.06414050987	1.55727879493	None	14397	None
streets_6382	streets_6384	streets	950	0.394201718516	None	0.269371174319	0.269371174319	0.394201718516	None	14372	None
streets_4982	streets_4983	streets	2850	0.0335273527728	None	0.0340861419856	0.0340861419856	0.0335273527728	None	6813	None
streets_4982	streets_1295	streets	0	45.2567029656	None	0.754278382761	0.754278382761	45.2567029656	None	7589	None
streets_4982	streets_4198	streets	2850	0.028650763366	None	0.0291282760888	0.0291282760888	0.028650763366	None	17952	None
streets_6380	streets_145	streets	3800	0.638741254059	None	0.649386941627	0.649386941627	0.638741254059	None	12070	None
streets_4066	streets_953	streets	2850	1.11996632327	None	0.578649267021	0.578649267021	1.11996632327	None	9538	None
streets_4066	streets_5427	streets	2850	1.80968464616	None	0.935003733847	0.935003733847	1.80968464616	None	8061	None
streets_4066	streets_3056	streets	2850	0.0899922884638	None	0.0464960157063	0.0464960157063	0.0899922884638	None	12126	None
streets_6386	streets_8538	streets	1900	0.687375357998	None	0.469706494632	0.469706494632	0.687375357998	None	5167	None
streets_6386	streets_6385	streets	1900	0.227108155973	None	0.268744651235	0.268744651235	0.227108155973	None	278	None
streets_916	streets_10511	streets	1900	0.0836446417881	None	0.0989794927826	0.0989794927826	0.0836446417881	None	8745	None
streets_4754	streets_4749	streets	950	0.568463728042	None	0.388450214162	0.388450214162	0.568463728042	None	2925	None
streets_4754	streets_6911	streets	950	0.209912294171	None	0.143440067684	0.143440067684	0.209912294171	None	17439	None
streets_4983	streets_2152	streets	2850	1.75598422253	None	1.78525062624	1.78525062624	1.75598422253	None	15218	None
streets_4061	streets_5853	streets	1900	0.0229187455275	None	0.0271205155409	0.0271205155409	0.0229187455275	None	18401	None
streets_6388	streets_10134	streets	9405	2.66335860418	None	1.37606861216	1.37606861216	2.66335860418	None	10290	None
streets_6388	streets_6201	streets	950	0.307052627813	None	0.209819295672	0.209819295672	0.307052627813	None	13607	None
streets_6388	streets_10141	streets	950	0.154168586834	None	0.105348534337	0.105348534337	0.154168586834	None	1871	None
streets_6388	streets_6390	streets	950	0.709755267362	None	0.484999432697	0.484999432697	0.709755267362	None	15450	None
streets_917	streets_9338	streets	2850	0.619960241262	None	0.63029291195	0.63029291195	0.619960241262	None	4606	None
